           SrcAddr        Dur   sMeanPktSz     SrcBytes       AckDat  SrcLoad  DstLoad   dMeanPktSz  Dport 
                 0   0.029230     0.000000            0     0.000000 0.000000 0.000000     0.000000      0
       192.168.0.2   4.932622    54.000000         1566     0.000000 11030.2* 2452.24*   226.677414 https
       192.168.0.2   4.153781   103.920631         6547     0.000000 12410.8* 0.000000     0.000000 mdns
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.000000    84.000000           84     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    64.000000           64     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   2.001238   211.000000          633     0.000000 1686.95* 0.000000     0.000000 1900
       192.168.0.2   3.989310   305.000000         1525     0.000000 2446.53* 0.000000     0.000000 54915
       192.168.0.2   0.781596    92.000000         2208     0.000000 21658.2* 0.000000     0.000000 netbi*
fe80::1d85:84de:a*   4.626915    92.758621         5380     0.000000 9143.02* 0.000000     0.000000 mdns
       192.168.0.2   0.000000    54.000000           54     0.000000 0.000000 0.000000     0.000000
       192.168.0.2   0.403535   126.000000          126     0.000000 0.000000 0.000000    78.000000 27017
       192.168.0.1   0.000008    60.000000           60     0.000000 0.000000 0.000000    42.000000
       192.168.0.2   0.044457   342.000000          342     0.000000 0.000000 0.000000   590.000000 bootps
       192.168.0.2   4.523439    56.160000         1404     0.000000 7569.46* 2384.02*   171.192307 https
       192.168.0.2   0.000000    54.000000           54     0.000000 0.000000 0.000000     0.000000
       192.168.0.2   4.501570    76.542557         7195     0.000000 12651.5* 0.000000     0.000000 mdns
       192.168.0.2   4.026895   305.000000         1525     0.000000 2423.70* 0.000000     0.000000 54915
fe80::1d85:84de:a*   0.338800    90.000000          450     0.000000 8500.58* 0.000000     0.000000 0x0000
       192.168.0.2   0.000000    54.000000           54     0.000000 0.000000 0.000000     0.000000
       192.168.0.2   0.000000    54.000000           54     0.000000 0.000000 0.000000     0.000000
       192.168.0.2   0.000000    54.000000           54     0.000000 0.000000 0.000000     0.000000
       192.168.0.2   0.000000    54.000000           54     0.000000 0.000000 0.000000     0.000000
fe80::1d85:84de:a*   0.000000    87.000000           87     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    67.000000           67     0.000000 0.000000 0.000000     0.000000 hostm*
