           SrcAddr        Dur   sMeanPktSz     SrcBytes       AckDat  SrcLoad  DstLoad   dMeanPktSz  Dport 
                 0   0.004839     0.000000            0     0.000000 0.000000 0.000000     0.000000      0
       192.168.0.2   4.979180    54.266666         2442     0.000000 15538.3* 3836.77*   189.615387 https
       192.168.0.2   4.322845   488.444458         8792     0.000000 34995.4* 15367.6*   995.250000 https
       192.168.0.2   0.025182    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   4.996742   305.000000         1830     0.000000 2441.59* 0.000000     0.000000 54915
       192.168.0.3   3.001046   211.000000          844     0.000000 1687.41* 0.000000     0.000000 1900
       192.168.0.2   0.023961    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   3.003084   211.000000          844     0.000000 1686.26* 0.000000     0.000000 1900
       192.168.0.2   0.000000    55.000000           55     0.000000 0.000000 0.000000     0.000000 https
       192.168.0.3   0.000000    86.000000           86     0.000000 0.000000 0.000000     0.000000 57621
     35.190.245.79   0.040299    65.000000           65     0.000000 0.000000 0.000000    54.000000 61020
       192.168.0.2   0.015973    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   0.016954    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   0.212931   129.000000          258     0.000000 4846.64* 2742.67*    73.000000 https
       192.168.0.2   0.206901    75.500000          151     0.000000 2938.60* 2977.26*    77.000000 https
       192.168.0.2   0.016388    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   4.867845    54.285713         2280     0.000000 14128.6* 3658.29*   204.674423 https
       192.168.0.2   0.040915    54.000000           54     0.000000 0.000000 0.000000   124.000000 https
       192.168.0.2   1.145738   352.000000         1760     0.000000 23356.1* 9831.21*   668.833313 https
       192.168.0.2   0.224250    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   0.000000    55.000000           55     0.000000 0.000000 0.000000     0.000000 https
       192.168.0.2   3.004502   305.000000         1220     0.000000 2436.34* 0.000000     0.000000 54915
       192.168.0.2   0.000000    55.000000           55     0.000000 0.000000 0.000000     0.000000 https
       192.168.0.2   0.000000    55.000000           55     0.000000 0.000000 0.000000     0.000000 kerbe*
       192.168.0.2   0.658596    74.500000          298     0.000000 2720.93* 1870.64*    76.666664 https
       192.168.0.2   0.192504    69.500000          139     0.000000 2909.03* 3158.37*    76.000000 https
       192.168.0.2   0.162874    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   0.016920    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.1   0.000000    60.000000           60     0.000000 0.000000 0.000000     0.000000
                 0   1.012802     0.000000            0     0.000000 0.000000 0.000000     0.000000      1
                 0   0.005139     0.000000            0     0.000000 0.000000 0.000000     0.000000      0
       192.168.0.2   4.979180    54.266666         2442     0.000000 15538.3* 3836.77*   189.615387 https
       192.168.0.2   4.322845   488.444458         8792     0.000000 34995.4* 15367.6*   995.250000 https
       192.168.0.2   0.025182    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   4.996742   305.000000         1830     0.000000 2441.59* 0.000000     0.000000 54915
       192.168.0.3   3.001046   211.000000          844     0.000000 1687.41* 0.000000     0.000000 1900
       192.168.0.2   0.023961    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   3.003084   211.000000          844     0.000000 1686.26* 0.000000     0.000000 1900
       192.168.0.2   0.000000    55.000000           55     0.000000 0.000000 0.000000     0.000000 https
       192.168.0.3   0.000000    86.000000           86     0.000000 0.000000 0.000000     0.000000 57621
     35.190.245.79   0.040299    65.000000           65     0.000000 0.000000 0.000000    54.000000 61020
       192.168.0.2   0.015973    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   0.016954    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   0.212931   129.000000          258     0.000000 4846.64* 2742.67*    73.000000 https
       192.168.0.2   0.206901    75.500000          151     0.000000 2938.60* 2977.26*    77.000000 https
       192.168.0.2   0.016388    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   4.867845    54.285713         2280     0.000000 14128.6* 3658.29*   204.674423 https
       192.168.0.2   0.040915    54.000000           54     0.000000 0.000000 0.000000   124.000000 https
       192.168.0.2   1.145738   352.000000         1760     0.000000 23356.1* 9831.21*   668.833313 https
       192.168.0.2   0.224250    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   0.000000    55.000000           55     0.000000 0.000000 0.000000     0.000000 https
       192.168.0.2   3.004502   305.000000         1220     0.000000 2436.34* 0.000000     0.000000 54915
       192.168.0.2   0.000000    55.000000           55     0.000000 0.000000 0.000000     0.000000 https
       192.168.0.2   0.000000    55.000000           55     0.000000 0.000000 0.000000     0.000000 kerbe*
       192.168.0.2   0.658596    74.500000          298     0.000000 2720.93* 1870.64*    76.666664 https
       192.168.0.2   0.192504    69.500000          139     0.000000 2909.03* 3158.37*    76.000000 https
       192.168.0.2   0.162874    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   0.016920    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.1   0.000000    60.000000           60     0.000000 0.000000 0.000000     0.000000
                 0   1.012871     0.000000            0     0.000000 0.000000 0.000000     0.000000      1
                 0   0.005080     0.000000            0     0.000000 0.000000 0.000000     0.000000      0
       192.168.0.2   4.979180    54.266666         2442     0.000000 15538.3* 3836.77*   189.615387 https
       192.168.0.2   4.322845   488.444458         8792     0.000000 34995.4* 15367.6*   995.250000 https
       192.168.0.2   0.025182    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   4.996742   305.000000         1830     0.000000 2441.59* 0.000000     0.000000 54915
       192.168.0.3   3.001046   211.000000          844     0.000000 1687.41* 0.000000     0.000000 1900
       192.168.0.2   0.023961    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   3.003084   211.000000          844     0.000000 1686.26* 0.000000     0.000000 1900
       192.168.0.2   0.000000    55.000000           55     0.000000 0.000000 0.000000     0.000000 https
       192.168.0.3   0.000000    86.000000           86     0.000000 0.000000 0.000000     0.000000 57621
     35.190.245.79   0.040299    65.000000           65     0.000000 0.000000 0.000000    54.000000 61020
       192.168.0.2   0.015973    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   0.016954    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   0.212931   129.000000          258     0.000000 4846.64* 2742.67*    73.000000 https
       192.168.0.2   0.206901    75.500000          151     0.000000 2938.60* 2977.26*    77.000000 https
       192.168.0.2   0.016388    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   4.867845    54.285713         2280     0.000000 14128.6* 3658.29*   204.674423 https
       192.168.0.2   0.040915    54.000000           54     0.000000 0.000000 0.000000   124.000000 https
       192.168.0.2   1.145738   352.000000         1760     0.000000 23356.1* 9831.21*   668.833313 https
       192.168.0.2   0.224250    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   0.000000    55.000000           55     0.000000 0.000000 0.000000     0.000000 https
       192.168.0.2   3.004502   305.000000         1220     0.000000 2436.34* 0.000000     0.000000 54915
       192.168.0.2   0.000000    55.000000           55     0.000000 0.000000 0.000000     0.000000 https
       192.168.0.2   0.000000    55.000000           55     0.000000 0.000000 0.000000     0.000000 kerbe*
       192.168.0.2   0.658596    74.500000          298     0.000000 2720.93* 1870.64*    76.666664 https
       192.168.0.2   0.192504    69.500000          139     0.000000 2909.03* 3158.37*    76.000000 https
       192.168.0.2   0.162874    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   0.016920    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.1   0.000000    60.000000           60     0.000000 0.000000 0.000000     0.000000
                 0   1.011820     0.000000            0     0.000000 0.000000 0.000000     0.000000      1
                 0   0.005301     0.000000            0     0.000000 0.000000 0.000000     0.000000      0
       192.168.0.2   4.979180    54.266666         2442     0.000000 15538.3* 3836.77*   189.615387 https
       192.168.0.2   4.322845   488.444458         8792     0.000000 34995.4* 15367.6*   995.250000 https
       192.168.0.2   0.025182    55.000000           55     0.000000 0.000000 0.000000    66.000000 https
       192.168.0.2   4.996742   305.000000         1830     0.000000 2441.59* 0.000000     0.000000 54915
       192.168.0.3   3.001046   211.000000          844     0.000000 1687.41* 0.000000     0.000000 1900
