SrcAddr,DstAddr,Dur,sMeanPktSz,SrcBytes,AckDat,SrcLoad,DstLoad,dMeanPktSz,Dport,Sport,Proto,State,DstBytes,sTtl,dTtl,SrcLoss,DstLoss,SrcPkts,DstPkts,SrcWin,DstWin,SrcTCPBase,DstTCPBase,SrcJitter,DstJitter,StartTime,LastTime,SIntPkt,DIntPkt,TcpRtt,SynAck,Label,is_sm_ips_ports,ct_dst_ltm,ct_src_ltm,ct_src_Dport_ltm,ct_dst_Sport_ltm,ct_dst_src_ltm

10.0.0.2,10.0.0.1,4.093893,60.0,300,0.0,468.991,0.0,0.0,arp,INT,0,0,0,5,0,18:31:09.991053,18:31:14.084946,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.091974,60.0,300,0.0,469.211,0.0,0.0,arp,INT,0,0,0,5,0,18:31:15.110340,18:31:19.202314,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.102752,60.0,300,0.0,467.978,0.0,0.0,arp,INT,0,0,0,5,0,18:31:20.226122,18:31:24.328874,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.092859,60.0,300,0.0,469.109,0.0,0.0,arp,INT,0,0,0,5,0,18:31:25.344173,18:31:29.437032,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.093326,60.0,300,0.0,469.056,0.0,0.0,arp,INT,0,0,0,5,0,18:31:30.461079,18:31:34.554405,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.4,239.255.255.250,3.076104,218.0,872,0.0,1700.85,0.0,0.0,1900,64461,udp,INT,0,1,0,0,4,0.0,18:31:30.866614,18:31:33.942718,0.0,0.0,,,,,,,,,,,False,16,22,16,1,16

10.0.0.2,10.0.0.1,3.097428,60.0,240,0.0,464.901,0.0,0.0,arp,INT,0,0,0,4,0,18:31:35.579196,18:31:38.676624,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.101469,60.0,300,0.0,468.124,0.0,0.0,arp,INT,0,0,0,5,0,18:32:49.366127,18:32:53.467596,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.094182,60.0,300,0.0,468.958,0.0,0.0,arp,INT,0,0,0,5,0,18:32:54.482865,18:32:58.577047,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.093916,60.0,300,0.0,468.988,0.0,0.0,arp,INT,0,0,0,5,0,18:32:59.600636,18:33:03.694552,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.133824,60.0,300,0.0,464.460,0.0,0.0,arp,INT,0,0,0,5,0,18:33:04.717933,18:33:08.851757,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,3.071267,60.0,240,0.0,468.861,0.0,0.0,arp,INT,0,0,0,4,0,18:33:09.866649,18:33:12.937916,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.4,3.6e-05,60.0,60,0.0,0.000000,0.0,42.0,arp,CON,42,0,0,1,1,18:33:19.046536,18:33:19.046572,0.0,0.000000,,,,,,,,,,,,,,False,1,66,66,1,1

10.0.0.2,10.0.0.1,4.093282,60.0,300,0.0,469.061,0.0,0.0,arp,INT,0,0,0,5,0,18:33:19.079172,18:33:23.172454,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.098929,60.0,300,0.0,468.415,0.0,0.0,arp,INT,0,0,0,5,0,18:33:24.196007,18:33:28.294936,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.4,10.0.0.1,1.923283,42.0,126,0.0,349.402,0.0,0.0,arp,INT,0,0,0,3,0,18:33:26.356290,18:33:28.279573,0.0,0.000000,,,,,,,,,,,,,,False,69,22,4,69,4

10.0.0.2,10.0.0.1,4.149951,60.0,300,0.0,462.656,0.0,0.0,arp,INT,0,0,0,5,0,18:33:29.320254,18:33:33.470205,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.4,239.255.255.250,3.010404,218.0,872,0.0,1737.97,0.0,0.0,1900,63354,udp,INT,0,1,0,0,4,0.0,18:33:30.867949,18:33:33.878353,0.0,0.0,,,,,,,,,,,False,16,22,16,1,16

10.0.0.2,10.0.0.1,4.090514,60.0,300,0.0,469.378,0.0,0.0,arp,INT,0,0,0,5,0,18:33:34.498062,18:33:38.588576,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.102184,60.0,300,0.0,468.043,0.0,0.0,arp,INT,0,0,0,5,0,18:33:39.612436,18:33:43.714620,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,3.076265,60.0,240,0.0,468.100,0.0,0.0,arp,INT,0,0,0,4,0,18:33:44.730871,18:33:47.807136,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.093749,60.0,300,0.0,469.007,0.0,0.0,arp,INT,0,0,0,5,0,18:37:56.827725,18:38:00.921474,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.082877,60.0,300,0.0,470.256,0.0,0.0,arp,INT,0,0,0,5,0,18:38:01.959873,18:38:06.042750,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.116069,60.0,300,0.0,466.464,0.0,0.0,arp,INT,0,0,0,5,0,18:38:07.062415,18:38:11.178484,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.094635,60.0,300,0.0,468.906,0.0,0.0,arp,INT,0,0,0,5,0,18:38:12.180101,18:38:16.274736,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.103843,60.0,300,0.0,467.854,0.0,0.0,arp,INT,0,0,0,5,0,18:38:17.297216,18:38:21.401059,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,3.070413,60.0,240,0.0,468.992,0.0,0.0,arp,INT,0,0,0,4,0,18:38:22.415215,18:38:25.485628,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.093488,60.0,300,0.0,469.037,0.0,0.0,arp,INT,0,0,0,5,0,18:42:17.369887,18:42:21.463375,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.093857,60.0,300,0.0,468.995,0.0,0.0,arp,INT,0,0,0,5,0,18:42:22.486747,18:42:26.580604,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.098758,60.0,300,0.0,468.434,0.0,0.0,arp,INT,0,0,0,5,0,18:42:27.604201,18:42:31.702959,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.094741,60.0,300,0.0,468.894,0.0,0.0,arp,INT,0,0,0,5,0,18:42:32.721330,18:42:36.816071,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.094592,60.0,300,0.0,468.911,0.0,0.0,arp,INT,0,0,0,5,0,18:42:37.838713,18:42:41.933305,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,3.153144,60.0,240,0.0,456.687,0.0,0.0,arp,INT,0,0,0,4,0,18:42:42.969462,18:42:46.122606,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.092978,60.0,300,0.0,469.096,0.0,0.0,arp,INT,0,0,0,5,0,18:43:59.846857,18:44:03.939835,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.101345,60.0,300,0.0,468.139,0.0,0.0,arp,INT,0,0,0,5,0,18:44:04.967735,18:44:09.069080,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.090825,60.0,300,0.0,469.342,0.0,0.0,arp,INT,0,0,0,5,0,18:44:10.084863,18:44:14.175688,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.094578,60.0,300,0.0,468.912,0.0,0.0,arp,INT,0,0,0,5,0,18:44:15.197944,18:44:19.292522,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.094819,60.0,300,0.0,468.885,0.0,0.0,arp,INT,0,0,0,5,0,18:44:20.316040,18:44:24.410859,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,3.070674,60.0,240,0.0,468.952,0.0,0.0,arp,INT,0,0,0,4,0,18:44:25.433117,18:44:28.503791,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.093498,60.0,300,0.0,469.036,0.0,0.0,arp,INT,0,0,0,5,0,18:45:36.086285,18:45:40.179783,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.090054,60.0,300,0.0,469.431,0.0,0.0,arp,INT,0,0,0,5,0,18:45:41.207000,18:45:45.297054,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.113753,60.0,300,0.0,466.727,0.0,0.0,arp,INT,0,0,0,5,0,18:45:46.333065,18:45:50.446818,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.092192,60.0,300,0.0,469.186,0.0,0.0,arp,INT,0,0,0,5,0,18:45:51.471602,18:45:55.563794,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.083747,60.0,300,0.0,470.156,0.0,0.0,arp,INT,0,0,0,5,0,18:45:56.598813,18:46:00.682560,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.09437,60.0,300,0.0,468.936,0.0,0.0,arp,INT,0,0,0,5,0,18:46:01.704915,18:46:05.799285,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.094223,60.0,300,0.0,468.953,0.0,0.0,arp,INT,0,0,0,5,0,18:47:13.381427,18:47:17.475650,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.125615,60.0,300,0.0,465.385,0.0,0.0,arp,INT,0,0,0,5,0,18:47:18.499053,18:47:22.624668,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.091866,60.0,300,0.0,469.223,0.0,0.0,arp,INT,0,0,0,5,0,18:47:23.651812,18:47:27.743678,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.097118,60.0,300,0.0,468.622,0.0,0.0,arp,INT,0,0,0,5,0,18:47:28.765816,18:47:32.862934,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.4,239.255.255.250,3.064615,218.0,872,0.0,1707.22,0.0,0.0,1900,63759,udp,INT,0,1,0,0,4,0.0,18:47:30.973306,18:47:34.037921,0.0,0.0,,,,,,,,,,,False,16,22,16,1,16

10.0.0.2,10.0.0.1,4.09323,60.0,300,0.0,469.067,0.0,0.0,arp,INT,0,0,0,5,0,18:47:33.883292,18:47:37.976522,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,3.07051,60.0,240,0.0,468.977,0.0,0.0,arp,INT,0,0,0,4,0,18:47:39.000872,18:47:42.071382,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.0937,60.0,300,0.0,469.013,0.0,0.0,arp,INT,0,0,0,5,0,18:48:49.845444,18:48:53.939144,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.09375,60.0,300,0.0,469.007,0.0,0.0,arp,INT,0,0,0,5,0,18:48:54.962321,18:48:59.056071,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.092912,60.0,300,0.0,469.103,0.0,0.0,arp,INT,0,0,0,5,0,18:49:00.080843,18:49:04.173755,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.090005,60.0,300,0.0,469.437,0.0,0.0,arp,INT,0,0,0,5,0,18:49:05.201283,18:49:09.291288,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.080072,60.0,300,0.0,470.579,0.0,0.0,arp,INT,0,0,0,5,0,18:49:10.361241,18:49:14.441313,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.4,239.255.255.250,2.993474,179.0,358,0.0,478.373,0.0,0.0,1900,61189,udp,INT,0,4,0,0,2,0.0,18:49:11.553903,18:49:14.547377,0.0,0.0,,,,,,,,,,,False,16,22,16,2,16

10.0.0.2,10.0.0.1,3.070409,60.0,240,0.0,468.992,0.0,0.0,arp,INT,0,0,0,4,0,18:49:15.464450,18:49:18.534859,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.4,239.255.255.250,0.0,179.0,179,0.0,0.000000,0.0,0.0,1900,61189,udp,REQ,0,4,0,0,1,0.0,18:49:17.550957,18:49:17.550957,0.0,0.0,,,,,,,,,,,False,16,22,16,2,16

10.0.0.2,10.0.0.1,4.115858,60.0,300,0.0,466.488,0.0,0.0,arp,INT,0,0,0,5,0,18:50:26.277447,18:50:30.393305,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.09354,60.0,300,0.0,469.031,0.0,0.0,arp,INT,0,0,0,5,0,18:50:31.394385,18:50:35.487925,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.09874,60.0,300,0.0,468.436,0.0,0.0,arp,INT,0,0,0,5,0,18:50:36.511742,18:50:40.610482,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.094412,60.0,300,0.0,468.931,0.0,0.0,arp,INT,0,0,0,5,0,18:50:41.628757,18:50:45.723169,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.093449,60.0,300,0.0,469.042,0.0,0.0,arp,INT,0,0,0,5,0,18:50:46.747499,18:50:50.840948,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,3.162683,60.0,240,0.0,455.309,0.0,0.0,arp,INT,0,0,0,4,0,18:50:51.867810,18:50:55.030493,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.4,224.0.0.251,1.00699,82.0,164,0.0,651.446,0.0,0.0,mdns,mdns,udp,INT,0,1,0,0,2,0.0,18:50:54.596559,18:50:55.603549,0.0,0.0,,,,,,,,,,,False,1,22,1,1,1

10.0.0.4,239.255.255.250,3.039908,218.0,872,0.0,1721.10,0.0,0.0,1900,51385,udp,INT,0,1,0,0,4,0.0,18:55:32.264416,18:55:35.304324,0.0,0.0,,,,,,,,,,,False,16,22,16,1,16

10.0.0.2,10.0.0.1,4.125806,60.0,300,0.0,465.363,0.0,0.0,arp,INT,0,0,0,5,0,18:55:32.620071,18:55:36.745877,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.093746,60.0,300,0.0,469.008,0.0,0.0,arp,INT,0,0,0,5,0,18:55:37.769521,18:55:41.863267,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.093239,60.0,300,0.0,469.066,0.0,0.0,arp,INT,0,0,0,5,0,18:55:42.886741,18:55:46.979980,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.094384,60.0,300,0.0,468.934,0.0,0.0,arp,INT,0,0,0,5,0,18:55:48.003659,18:55:52.098043,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,4.094008,60.0,300,0.0,468.978,0.0,0.0,arp,INT,0,0,0,5,0,18:55:53.121093,18:55:57.215101,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.2,10.0.0.1,3.070914,60.0,240,0.0,468.915,0.0,0.0,arp,INT,0,0,0,4,0,18:55:58.238461,18:56:01.309375,0.0,0.000000,,,,,,,,,,,,,,False,69,66,66,69,65

10.0.0.4,239.255.255.250,3.046114,218.0,872,0.0,1717.59,0.0,0.0,1900,60357,udp,INT,0,1,0,0,4,0.0,00:25:07.566723,00:25:10.612837,0.0,0.0,,,,,,,,,,,False,16,22,16,1,16

10.0.0.4,239.255.255.250,2.020348,218.0,654,0.0,1726.43,0.0,0.0,1900,60226,udp,INT,0,1,0,0,3,0.0,13:41:19.185763,13:41:21.206111,0.0,0.0,,,,,,,,,,,False,16,22,16,1,16

10.0.0.4,239.255.255.250,3.032877,218.0,872,0.0,1725.09,0.0,0.0,1900,53999,udp,INT,0,1,0,0,4,0.0,15:42:24.578269,15:42:27.611146,0.0,0.0,,,,,,,,,,,False,16,22,16,1,16

10.0.0.4,10.0.0.1,4.921973,42.0,252,0.0,341.326,0.0,0.0,arp,INT,0,0,0,6,0,12:59:28.210278,12:59:33.132251,0.0,0.000000,,,,,,,,,,,,,,False,69,22,4,69,4

10.0.0.4,10.0.0.1,4.501336,42.0,210,0.0,298.578,0.0,0.0,arp,INT,0,0,0,5,0,12:59:34.119033,12:59:38.620369,0.0,0.000000,,,,,,,,,,,,,,False,69,22,4,69,4

10.0.0.4,10.0.0.1,3.011385,42.0,168,0.0,334.729,0.0,0.0,arp,INT,0,0,0,4,0,12:59:39.619097,12:59:42.630482,0.0,0.000000,,,,,,,,,,,,,,False,69,22,4,69,4

10.0.0.4,239.255.255.250,3.014366,217.0,868,0.0,1727.72,0.0,0.0,1900,55915,udp,INT,0,1,0,0,4,0.0,13:25:53.761845,13:25:56.776211,0.0,0.0,,,,,,,,,,,False,16,22,16,1,16

10.0.0.4,10.255.255.255,1.521325,92.0,276,0.0,967.577,0.0,0.0,netbi,netbi,udp,INT,0,128,0,0,3,0.0,13:29:10.516678,13:29:12.038003,0.0,0.0,,,,,,,,,,,False,1,22,1,1,1

10.0.0.4,239.255.255.250,3.016665,217.0,868,0.0,1726.40,0.0,0.0,1900,65035,udp,INT,0,1,0,0,4,0.0,13:31:21.776919,13:31:24.793584,0.0,0.0,,,,,,,,,,,False,16,22,16,1,16

10.0.0.4,239.255.255.250,3.026576,217.0,868,0.0,1720.75,0.0,0.0,1900,49639,udp,INT,0,1,0,0,4,0.0,13:33:19.120432,13:33:22.147008,0.0,0.0,,,,,,,,,,,False,16,22,16,1,16

10.0.0.4,239.255.255.250,3.04215,217.0,868,0.0,1711.94,0.0,0.0,1900,53769,udp,INT,0,1,0,0,4,0.0,13:37:32.239108,13:37:35.281258,0.0,0.0,,,,,,,,,,,False,16,22,16,1,16

